name,city,price
mochinut murphy,Murphy,$$$$
fruitealicious,Carrollton,$$$$
kung fu tea,Plano,$$$
r&b tea - carrollton,Carrollton,$$$$
feng cha the colony,The Colony,$$$$
krak boba,Addison,$$$$
tea top,Carrollton,$$$$
ben gong's tea,Frisco,$$$$
fruitealicious - stonebriar,Frisco,$$$$
moom muum,Dallas,$$$$
pearl cafe,Mesquite,$$$$
feng cha - forney,Forney,$$$$
daboba richardson,Richardson,$$$
zero degrees,Plano,$$$$
exotic blendz,McKinney,$$$$
tiger sugar,Carrollton,$$$$
teapioca lounge,Lewisville,$$$$
feng cha - garland,Garland,$$$$
boba lush,Murphy,$$$$
yely,Dallas,$$$$
vivi bubble tea,Frisco,$$$$
elevated coffee & tea,Richardson,$$$$
moge tee - carrollton,Carrollton,$$$$
sharetea,Dallas,$$$$
bubble bee,Carrollton,$$$$
pu’er taiwan tea & coffee,Richardson,$$$
vivi bubble tea,Garland,$$
fat straws boba & mochi donuts,Dallas,$$$$
feng cha - carrollton,Carrollton,$$$$
fat straws boba & mochi donuts,Dallas,$$$$
milk n tea,Plano,$$$$
sharetea frisco,Frisco,$$$
7 leaves cafe,Carrollton,$$$$
yoberry frozen yogurt,Garland,$$$
mochinut lewisville,Lewisville,$$$$
gong cha,Richardson,$$$
tealatte bar,Frisco,$$$$
annie's sweets & treats,Frisco,$$$$
rainbow tea shop,Plano,$$$$
boba heaven mesquite,Mesquite,$$$
tea daddy,Richardson,$$$$
tea daddy,Garland,$$$
haus of boba,Sachse,$$$
boba boba bubble tea & coffee,Plano,$$$$
boba republic,Plano,$$$$
with milk,Allen,$$$$
sharetea,Carrollton,$$$$
tiem che thach thao,Garland,$$
annie's sweets & treats,Frisco,$$$$
gong cha,Frisco,$$$
fat straws boba & mochi donuts,Plano,$$$$
milk bubbles,Plano,$$$
snow city cafe,Carrollton,$$$$
yifang taiwan fruit tea -plano,Plano,$$$$
r&b tea - frisco,Frisco,$$$
drip n roll - wylie,Wylie,$$$
kung fu tea,Frisco,$$$
kung fu tea,Frisco,$$
kung fu tea,Murphy,$$$
the alley - garland,Garland,$$$
kung fu tea,Carrollton,$$$
a day cafe,Richardson,$$$$
tea town,Plano,$$$
kung fu tea,Richardson,$$$
texas teahouse & market,Plano,$$
mango mango dessert,Plano,$$$$
ding tea - richardson,Richardson,$$$$
somisomi,Frisco,$$$$
i heart boba,Mesquite,$$
dumont creamery & cafe,Frisco,$$$$
below 40,Plano,$$$
hello boba,Mckinney,$$$
qq teahouse,Plano,$$$
meetcha bubble tea cafe,Plano,$$$$
te'amo boba tea x mochi donut,Castro Valley,$$$
quickly,Castro Valley,$$
tao's fresh,San Lorenzo,$$$$
happy lemon,Castro Valley,$$$
t4,Castro Valley,$$
gong cha hayward,Hayward,$$$$
i-tea,San Leandro,$$$$
quickly,Hayward,$$$
happy lemon,San Leandro,$$$
tea villa,Hayward,$$$
chachago,Hayward,$$
t4,San Leandro,$$$
happy lemon,San Ramon,$$$$
r&b tea - san ramon,San Ramon,$$$$
boba nation,Hayward,$$$$
pho hoa & jazen tea,San Ramon,$$$$
sharetea,Hayward,$$$
creative sips,San Leandro,$$$$
quickly,San Lorenzo,$$$
quickly,San Leandro,$$$
xenia's gelato,Hayward,$$$
d t dim sum & tea,San Leandro,$$$
surf city squeeze,Hayward,$$$
fanale drinks,Hayward,$
united paleteria y neveria,San Leandro,$$$
golden tea cafe,Lowell,$$$$
kung fu tea,Manchester,$$$
teatotaller,Concord,$$$
v’s sandwich,Tilton,$$$$
studio milk tea,Lowell,$$$$
snowdaes,Lowell,$$$$
sweet journey,Lowell,$$$$
hatter’s tea shop,Georgetown,$$$$
jen ju boba tea,Newburyport,$$$
matcha,Derry,$$$$
heng hai boba tea,Lawrence,$$$$
mr. wish,Portsmouth,$$$$
chica tea,Methuen,$$$$
saigon sandwich house,Lowell,$$$$
boba tea and snow ice house - haverhill,Haverhill,$$$$
miu cafe,Manchester,$$$
tea-do,Lowell,$$$$
sip maine,Eliot,$$$$
4u bubble tea,Hanover,$$$$
rath’s beef chips,Lowell,$$$$
kung fu tea,Lowell,$$$
bambu,Lowell,$$$
the whale tea,Beverly,$$$$
golden tea cafe,Georgetown,$$$$
sweet boba,Salem,$$$$
sweet boba,Beverly,$$$$
arincha thai sushi boba,Merrimack,$$$$
nibbana cafe,Lowell,$$$$
moge tee - coming soon,Lynnfield,$$$
carl’s cones,Gloucester,$$$$
cup 89 boba & gelato,Andover,$$$$
restoration cafe,Manchester,$$$$
jaho coffee & tea,Salem,$$$
gong cha,Peabody,$$
gong cha,Lowell,$$$
cup 89 - andover,Andover,$$
truewin tea shoppe,Newark,$$$$
boba guys,San Francisco,$$$$
rose tea lounge - cupertino,Cupertino,$$$$
honey express bento & tea,Milpitas,$$$$
ume tea,San Jose,$$$$
teaspoon - newark,Newark,$$$$
aloh-o,Mill Valley,$$$
orange square - cupertino,Cupertino,$$$$
haiku teahouse,San Jose,$$$$
hui lau shan,Milpitas,$$$$
my bottle tea & coffee,San Jose,$$$$
teazentea saratoga,Saratoga,$$$$
chachago,Fremont,$$$$
ume tea - mountain view,Mountain View,$$$$
coco bubble tea,Milpitas,$$$
i-tea sr,San Jose,$$$$
tea moment,Fremont,$$$$
bambu,San Francisco,$$$
uju,San Jose,$$$
mints & honey,San Carlos,$$$$
boba bliss,Mountain View,$$$$
boba guys,San Carlos,$$$$
bobalicious,Redwood City,$$$$
yilan bento,San Francisco,$$$$
ceré tea,Saratoga,$$$$
teatime,Redwood City,$$$$
taotaotea,Saratoga,$$$$
let's roll,San Francisco,$$$$
asha tea house,San Francisco,$$$$
feng cha teahouse,Newark,$$$$
lovey's tea shoppe,Pacifica,$$$$
chicha san chen,Cupertino,$$$$
mr sun,Cupertino,$$$
gong cha,Palo Alto,$$$
quarters teahouse,San Francisco,$$$$
oh dessert cafe,San Francisco,$$$$
tpumps,San Francisco,$$$
teaspoon,Santa Clara,$$$$
matcha cafe maiko,San Francisco,$$$$
tea fermata,Los Gatos,$$$$
quickly,San Francisco,$$$
snow boba,San Jose,$$$$
tea juice,San Carlos,$$$
tea it up,Menlo Park,$$$$
co ba dessert tea & coffee,San Jose,$$$$
tp tea,Cupertino,$$$$
ten ren tea,Cupertino,$$$$
happy lemon,Cupertino,$$$$
tea top,San Jose,$$$$
gong cha,Sunnyvale,$$$$
7 leaves cafe,Cupertino,$$$$
macu tea - cupertino,Cupertino,$$$
wow tea drink,Cupertino,$$$$
calibear cyber cafe,Sunnyvale,$$$$
moomo tea,Sunnyvale,$$$$
babo boba cafe,Cupertino,$$$$
ume tea,Cupertino,$$$$
wanpo tea shop,Cupertino,$$$$
sunright tea studio - sunnyvale,Sunnyvale,$$$$
o2 valley,Cupertino,$$$$
tea era,Cupertino,$$$
izumi matcha,Cupertino,$$$$
cozy tea loft,San Jose,$$$$
tpumps,San Jose,$$$$
tastea,Sunnyvale,$$$$
hanlin tea room - cupertino,Cupertino,$$$
bambu,Sunnyvale,$$$
fantasia coffee & tea,Cupertino,$$$
boba guys at local kitchens,Cupertino,$$$
moontea,Sunnyvale,$$$$
7 leaves cafe,San Jose,$$$$
zero& cupertino village,Cupertino,$$$$
pekoe,Sunnyvale,$$$
omg tea,Santa Clara,$$$
tp tea,Sunnyvale,$$$$
beastea,Santa Clara,$$$$
tea era,Mountain View,$$$
shihlin taiwan street snacks,Cupertino,$$$$
n7 draft tea + coffee,San Jose,$$$$
teazzi tea shop,Sunnyvale,$$$$
happy lemon,Cupertino,$$$$
cafe lattea,Cupertino,$$$
mochi waffle corner,Mountain View,$$$$
boba pup,Santa Clara,$$$
jiaren cafe,Santa Clara,$$$$
yi fang taiwan fruit tea,Mountain View,$$$$
orange square,Santa Clara,$$$$
mr. green bubble,Cupertino,$$$
yi fang taiwan fruit tea,San Jose,$$$
ktea cafe,Sunnyvale,$$$
chick & tea - sunnyvale,Sunnyvale,$$$
ice splash,Campbell,$$$$
steepers,Campbell,$$$$
bitter sweet,Cupertino,$$$
tan-cha,Cupertino,$$$
chun yang tea,Sunnyvale,$$$$
breaktime tea,Campbell,$$$$
r&b tea - sunnyvale,Sunnyvale,$$$$
hui lau shan,Cupertino,$$$$
happy lemon,San Jose,$$$$
pink pink tea shoppe,Santa Clara,$$$$
bober tea,Sunnyvale,$$$
boba guys,San Jose,$$$
meet fresh,Cupertino,$$$
tea annie,Mountain View,$$$$
feng cha,Mountain View,$$$$
teaspoon los altos,Los Altos,$$$
teaspoon saratoga,San Jose,$$$
t% coffee + tea - santa clara,Santa Clara,$$$$
nha cafe,Santa Clara,$$$$
pastel tea lounge,Sunnyvale,$$$
matcha cafe maiko,Santa Clara,$$$$
lilikoi boba,San Jose,$$$$
sul & beans,Cupertino,$$$
teaspoon,Mountain View,$$$
tzone winchester,San Jose,$$$
sharetea,Santa Clara,$$$
happy lemon,Mountain View,$$$$
music tunnel ktv cafe,San Jose,$$$
tong sui,Sunnyvale,$$$$
qqq tea,San Jose,$$$
bambu,Santa Clara,$$$$
verde tea cafe,Mountain View,$$$
cream,Cupertino,$$$
tong sui,Santa Clara,$$$$
cocohodo,Sunnyvale,$$$$
snowtime,Campbell,$$$$
rabbit rabbit tea,Santa Clara,$$$
happy lemon,Sunnyvale,$$$$
boba guys,Los Altos,$$$$
boba drive,Sunnyvale,$$$$
gong cha,San Jose,$$$
lucky tea,Santa Clara,$$$
cup n cone,Sunnyvale,$$$$
tan-cha,Santa Clara,$$$$
liang's village,Cupertino,$$$
mr sun tea,Mountain View,$$$
beard papa's,Cupertino,$$$
ocha tea café & restaurant,Mountain View,$$$
r&b tea - santa clara,Santa Clara,$$$
7 leaves cafe,Campbell,$$$
cafe 86,Mountain View,$$$$
kung fu tea,San Jose,$$$
queen house,Mountain View,$$$
meet fresh,Santa Clara,$$
justeas,San Jose,$$$
sweet diplomacy,Los Altos,$$$$
lisa's tea treasures,Los Altos,$$$
sunnywich cafe,Sunnyvale,$$$$
alexander's patisserie,Cupertino,$$$
chaiyo  boba,Sunnyvale,$$$$
honeyberry,Santa Clara,$$$
jazen tea,San Jose,$$$
fantasia coffee & tea,Santa Clara,$$$
somisomi,Cupertino,$$$$
creative sips,San Jose,$$$$
pho hoa & jazen tea,Santa Clara,$$$
yumi yogurt - santa clara,Santa Clara,$$$$
jell & chill,Cupertino,$$$
southland flavor cafe,Cupertino,$$$
tous les jours,Santa Clara,$$$
hanabusa café,Sunnyvale,$$$
jell & chill,Santa Clara,$$$
somisomi,Santa Clara,$$$$
zero& westfield valley fair,Santa Clara,$$$
jazen tea,Santa Clara,$$
portuguese tasty desserts,Santa Clara,$$$$
gong cha,Santa Clara,$$$
fancy flavors,San Jose,$$$$
din tai fung,Santa Clara,$$$
hui lau shan,Santa Clara,$$$$
coco fresh tea & juice valley fair,Santa Clara,$$$
frozo's frozen yogurt,Santa Clara,$$$
tiger tea & juice - daly city,Daly City,$$$$
yeti tea &,Daly City,$$$$
sweethoney dessert  - colma,Colma,$$$
7 leaves cafe,San Francisco,$$$
i-tea,San Francisco,$$$
my cup of tea,San Francisco,$$$
teaever,Daly City,$$$
dots,San Francisco,$$$$
milktopia,San Francisco,$$$$
tea world,South San Francisco,$$$$
yy coffee & milk tea,San Francisco,$$$$
boba guys,San Francisco,$$$$
sweet cupz,San Francisco,$$$
happy lemon,Daly City,$$$
mr szechuan,San Francisco,$$$$
d7n coffee & tea,San Francisco,$$$$
the burrow,Brisbane,$$$$
wonderful dessert & cafe,San Francisco,$$$$
golden island cafe,San Francisco,$$$
foam tea house,San Francisco,$$$$
ye ye coconut snacks,San Francisco,$$$$
tea hut,San Francisco,$$$
wanpo tea shop - san francisco,San Francisco,$$$
district tea,San Francisco,$$$$
hi tea,San Francisco,$$$
inner sunset - little sweet,San Francisco,$$$
u :dessert story,San Francisco,$$$$
stix,San Francisco,$$$$
the fate tea house,San Francisco,$$$$
zero & stonestown galleria,San Francisco,$$$
devil angel desserts,Daly City,$$
5 degree tea house,San Francisco,$$$
nameless tea & coffee,San Francisco,$$$
